120 180
23 163 -16810
24 163 -17190
25 163 -16950
26 163 -16850
27 163 -17280
28 163 -16620
29 163 -16620
30 163 -15720
31 163 -15380
32 163 -15380
33 163 -16180
34 163 -16309
35 163 -16300
36 163 -15720
37 163 -15720
38 163 -16860
39 163 -15630
40 163 -15460
41 163 -16149
42 163 -16350
43 163 -16329
44 163 -16370
45 163 -16460
46 163 -16160
47 163 -16329
48 163 -16370
49 163 -16880
50 163 -16880
51 163 -16810
52 163 -17340
53 163 -18280
54 163 -18450
55 163 -15570
56 163 -15600
57 163 -16290
58 163 -16290
59 163 -15270
60 163 -14970
61 163 -16340
62 163 -17370
63 163 -17380
64 163 -18150
65 163 -16780
66 163 -17650
67 163 -16960
68 163 -16290
69 163 -14540
70 163 -14710
71 163 -13990
72 163 -13990
73 163 -14210
74 163 -14060
75 163 -14290
76 163 -14500
77 163 -14980
78 163 -15240
79 163 -15850
80 163 -15710
81 163 -15740
82 163 -16170
83 163 -15760
84 163 -15590
85 163 -15040
86 163 -14720
87 163 -14510
88 163 -15170
89 163 -15940
90 163 -16219
91 163 -15820
92 163 -15170
93 163 -13360
94 163 -13540
95 163 -13970
96 163 -16190
97 163 -14580
98 163 -15550
99 163 -13870
100 163 -13800
101 163 -13650
102 163 -13030
103 163 -13300
104 163 -13240
105 163 -13520
106 163 -13950
107 163 -11010
108 163 -10920
109 163 -11070
110 163 -10990
111 163 -10990
16 162 -16920
17 162 -12620
18 162 -16990
19 162 -16850
20 162 -16500
21 162 -17330
22 162 -17110
23 162 -16730
24 162 -17190
25 162 -17750
26 162 -17680
27 162 -17320
28 162 -16390
29 162 -16590
30 162 -15720
31 162 -15720
32 162 -16580
33 162 -17710
34 162 -16290
35 162 -16309
36 162 -15820
37 162 -16990
38 162 -16770
39 162 -15870
40 162 -15320
41 162 -15320
42 162 -16350
43 162 -16360
44 162 -16329
45 162 -16010
46 162 -16160
47 162 -16530
48 162 -16610
49 162 -16860
50 162 -17100
51 162 -16760
52 162 -17350
53 162 -18090
54 162 -15470
55 162 -15050
56 162 -15340
57 162 -15750
58 162 -16290
59 162 -17650
60 162 -15380
61 162 -16030
62 162 -16690
63 162 -17140
64 162 -17140
65 162 -17960
66 162 -17210
67 162 -16500
68 162 -15150
69 162 -14510
70 162 -14310
71 162 -14810
72 162 -14300
73 162 -14270
74 162 -14320
75 162 -14450
76 162 -14630
77 162 -14980
78 162 -15620
79 162 -15480
80 162 -15070
81 162 -15120
82 162 -15600
83 162 -15880
84 162 -15560
85 162 -15560
86 162 -14300
87 162 -14510
88 162 -15170
89 162 -16100
90 162 -16230
91 162 -15820
92 162 -14440
93 162 -13360
94 162 -13000
95 162 -13000
96 162 -15260
97 162 -14120
98 162 -14780
99 162 -16180
100 162 -13800
101 162 -12890
102 162 -12890
103 162 -13460
104 162 -13590
105 162 -14260
106 162 -15300
107 162 -6130
108 162 -6130
109 162 -10790
110 162 -10830
111 162 -10880
16 161 -16950
17 161 -17000
18 161 -17060
19 161 -17050
20 161 -16950
21 161 -16770
22 161 -17310
23 161 -17330
24 161 -17700
25 161 -17630
26 161 -17490
27 161 -17220
28 161 -16110
29 161 -16110
30 161 -15770
31 161 -16190
32 161 -16940
33 161 -17930
34 161 -17430
35 161 -16900
36 161 -15820
37 161 -16870
38 161 -16200
39 161 -16500
40 161 -15230
41 161 -15230
42 161 -16350
43 161 -16300
44 161 -16260
45 161 -16010
46 161 -16510
47 161 -16590
48 161 -16940
49 161 -16960
50 161 -16960
51 161 -17250
52 161 -17380
53 161 -17710
54 161 -15580
55 161 -15600
56 161 -15150
57 161 -16470
58 161 -17510
59 161 -18500
60 161 -17400
61 161 -16820
62 161 -16690
63 161 -17140
64 161 -17140
65 161 -17100
66 161 -15860
67 161 -14840
68 161 -14690
69 161 -14260
70 161 -14260
71 161 -14930
72 161 -14790
73 161 -14510
74 161 -14570
75 161 -14830
76 161 -15120
77 161 -15040
78 161 -15490
79 161 -14900
80 161 -14770
81 161 -14770
82 161 -15030
83 161 -15910
84 161 -16030
85 161 -14120
86 161 -14120
87 161 -15280
88 161 -15460
89 161 -15760
90 161 -16120
91 161 -15770
92 161 -14260
93 161 -13060
94 161 -13000
95 161 -13000
96 161 -14480
97 161 -14120
98 161 -14360
99 161 -13860
100 161 -15990
101 161 -15990
102 161 -14180
103 161 -12790
104 161 -13270
105 161 -13820
106 161 -14760
107 161 -13170
108 161 -11030
109 161 -10920
110 161 -10760
111 161 -10960
16 160 -17260
17 160 -17080
18 160 -17140
19 160 -16550
20 160 -16870
21 160 -17070
22 160 -17360
23 160 -17440
24 160 -17720
25 160 -17450
26 160 -17300
27 160 -16890
28 160 -16110
29 160 -16110
30 160 -15700
31 160 -15700
32 160 -16740
33 160 -18080
34 160 -16560
35 160 -17090
36 160 -16870
37 160 -17040
38 160 -15740
39 160 -16550
40 160 -15230
41 160 -15230
42 160 -16020
43 160 -16020
44 160 -16180
45 160 -16129
46 160 -16420
47 160 -16690
48 160 -16810
49 160 -16940
50 160 -16710
51 160 -17200
52 160 -17410
53 160 -16880
54 160 -17030
55 160 -16690
56 160 -15010
57 160 -16760
58 160 -18290
59 160 -18290
60 160 -17770
61 160 -17690
62 160 -17270
63 160 -17540
64 160 -16690
65 160 -16800
66 160 -14910
67 160 -14390
68 160 -14390
69 160 -13990
70 160 -14760
71 160 -14610
72 160 -14570
73 160 -14830
74 160 -14990
75 160 -14990
76 160 -14910
77 160 -14720
78 160 -14980
79 160 -14060
80 160 -14430
81 160 -14620
82 160 -14830
83 160 -15460
84 160 -15840
85 160 -14400
86 160 -14270
87 160 -14660
88 160 -15330
89 160 -15330
90 160 -15810
91 160 -15760
92 160 -13520
93 160 -13080
94 160 -12880
95 160 -13210
96 160 -14160
97 160 -14770
98 160 -13430
99 160 -14330
100 160 -15880
101 160 -15740
102 160 -15980
103 160 -12930
104 160 -13270
105 160 -13460
106 160 -13230
107 160 -13690
108 160 -11330
109 160 -10910
110 160 -10720
111 160 -11050
16 159 -17320
17 159 -17140
18 159 -17270
19 159 -17020
20 159 -16920
21 159 -17210
22 159 -17640
23 159 -17500
24 159 -16970
25 159 -16970
26 159 -16970
27 159 -16890
28 159 -16300
29 159 -15940
30 159 -15940
31 159 -15700
32 159 -15890
33 159 -17780
34 159 -15910
35 159 -17040
36 159 -17030
37 159 -16730
38 159 -16100
39 159 -16670
40 159 -16110
41 159 -15110
42 159 -15380
43 159 -16020
44 159 -16160
45 159 -16260
46 159 -16420
47 159 -16500
48 159 -16670
49 159 -16870
50 159 -17040
51 159 -17070
52 159 -17270
53 159 -17000
54 159 -17620
55 159 -17040
56 159 -16020
57 159 -16650
58 159 -18360
59 159 -14520
60 159 -17980
61 159 -18130
62 159 -18000
63 159 -17190
64 159 -15390
65 159 -14880
66 159 -14380
67 159 -14170
68 159 -13630
69 159 -13990
70 159 -14720
71 159 -14570
72 159 -14470
73 159 -14470
74 159 -14810
75 159 -14520
76 159 -14300
77 159 -14600
78 159 -14400
79 159 -14060
80 159 -14410
81 159 -14190
82 159 -14730
83 159 -14180
84 159 -14000
85 159 -14130
86 159 -14270
87 159 -14910
88 159 -15290
89 159 -15020
90 159 -15230
91 159 -15340
92 159 -13140
93 159 -13110
94 159 -13140
95 159 -13150
96 159 -13080
97 159 -13280
98 159 -13430
99 159 -13620
100 159 -13980
101 159 -15930
102 159 -16270
103 159 -15140
104 159 -13330
105 159 -13680
106 159 -13230
107 159 -13680
108 159 -13210
109 159 -10200
110 159 -10200
111 159 -10740
16 158 -17050
17 158 -17130
18 158 -17280
19 158 -16960
20 158 -16880
21 158 -17360
22 158 -17460
23 158 -17410
24 158 -16970
25 158 -17060
26 158 -17190
27 158 -16770
28 158 -16560
29 158 -15630
30 158 -15630
31 158 -16040
32 158 -16040
33 158 -17560
34 158 -16260
35 158 -16590
36 158 -16309
37 158 -16309
38 158 -16300
39 158 -16620
40 158 -16110
41 158 -15120
42 158 -15360
43 158 -16070
44 158 -15740
45 158 -15740
46 158 -16370
47 158 -16470
48 158 -16640
49 158 -16870
50 158 -16970
51 158 -17040
52 158 -16420
53 158 -16630
54 158 -17620
55 158 -17500
56 158 -16690
57 158 -16740
58 158 -16620
59 158 -14630
60 158 -17630
61 158 -17730
62 158 -16990
63 158 -15040
64 158 -14910
65 158 -14240
66 158 -13930
67 158 -13930
68 158 -13970
69 158 -14300
70 158 -14360
71 158 -14230
72 158 -14110
73 158 -14410
74 158 -14620
75 158 -14490
76 158 -14400
77 158 -14490
78 158 -14150
79 158 -13930
80 158 -13930
81 158 -14190
82 158 -14510
83 158 -14720
84 158 -14630
85 158 -14630
86 158 -15470
87 158 -14910
88 158 -14190
89 158 -14220
90 158 -13880
91 158 -14420
92 158 -13090
93 158 -13100
94 158 -12840
95 158 -13210
96 158 -13440
97 158 -13040
98 158 -12600
99 158 -12980
100 158 -14500
101 158 -16020
102 158 -16270
103 158 -15270
104 158 -15540
105 158 -13860
106 158 -14300
107 158 -13920
108 158 -12750
109 158 -12890
110 158 -10810
111 158 -10810
16 157 -17210
17 157 -17320
18 157 -17250
19 157 -16970
20 157 -17040
21 157 -17040
22 157 -17560
23 157 -17560
24 157 -17450
25 157 -17120
26 157 -16590
27 157 -16420
28 157 -16420
29 157 -15940
30 157 -15710
31 157 -16180
32 157 -17640
33 157 -16930
34 157 -16260
35 157 -16940
36 157 -16090
37 157 -16090
38 157 -16379
39 157 -16460
40 157 -16350
41 157 -15300
42 157 -15260
43 157 -15960
44 157 -15560
45 157 -15630
46 157 -15480
47 157 -15480
48 157 -16420
49 157 -16800
50 157 -16960
51 157 -17120
52 157 -16420
53 157 -17010
54 157 -18480
55 157 -17760
56 157 -16920
57 157 -16920
58 157 -18510
59 157 -15000
60 157 -15660
61 157 -17520
62 157 -15510
63 157 -14200
64 157 -14170
65 157 -13940
66 157 -14120
67 157 -14020
68 157 -14020
69 157 -14140
70 157 -14330
71 157 -14120
72 157 -14040
73 157 -14560
74 157 -13990
75 157 -13890
76 157 -14350
77 157 -14160
78 157 -13960
79 157 -13930
80 157 -13930
81 157 -13970
82 157 -14050
83 157 -14240
84 157 -15500
85 157 -15340
86 157 -15630
87 157 -14610
88 157 -14110
89 157 -15370
90 157 -15100
91 157 -13890
92 157 -12780
93 157 -12830
94 157 -12980
95 157 -12990
96 157 -13050
97 157 -13000
98 157 -12380
99 157 -12210
100 157 -13170
101 157 -14940
102 157 -15550
103 157 -16239
104 157 -16140
105 157 -15700
106 157 -13450
107 157 -7840
108 157 -7840
109 157 -12820
110 157 -11260
111 157 -10970
16 156 -16910
17 156 -17060
18 156 -16540
19 156 -16820
20 156 -17040
21 156 -17330
22 156 -17670
23 156 -17380
24 156 -17200
25 156 -16440
26 156 -16280
27 156 -16160
28 156 -16300
29 156 -15580
30 156 -15580
31 156 -17510
32 156 -17640
33 156 -17190
34 156 -16740
35 156 -16810
36 156 -16320
37 156 -16170
38 156 -16219
39 156 -16280
40 156 -16219
41 156 -15490
42 156 -15270
43 156 -15330
44 156 -15250
45 156 -14770
46 156 -15350
47 156 -15370
48 156 -16149
49 156 -16670
50 156 -16900
51 156 -16210
52 156 -16210
53 156 -17800
54 156 -18410
55 156 -18170
56 156 -16070
57 156 -15910
58 156 -17810
59 156 -15550
60 156 -17110
61 156 -16210
62 156 -14560
63 156 -13640
64 156 -13880
65 156 -13880
66 156 -14630
67 156 -14560
68 156 -14300
69 156 -14140
70 156 -14250
71 156 -14040
72 156 -14270
73 156 -13960
74 156 -13750
75 156 -13750
76 156 -13750
77 156 -14140
78 156 -14160
79 156 -13750
80 156 -13690
81 156 -13670
82 156 -13480
83 156 -13590
84 156 -13830
85 156 -14090
86 156 -14210
87 156 -14530
88 156 -15290
89 156 -15810
90 156 -15590
91 156 -13360
92 156 -12330
93 156 -12690
94 156 -12960
95 156 -13200
96 156 -13140
97 156 -13140
98 156 -12880
99 156 -13200
100 156 -14150
101 156 -14620
102 156 -15620
103 156 -15620
104 156 -16260
105 156 -15700
106 156 -13140
107 156 -12900
108 156 -12840
109 156 -12210
110 156 -11740
111 156 -11320
16 155 -16440
17 155 -16680
18 155 -16680
19 155 -16590
20 155 -17450
21 155 -17420
22 155 -17550
23 155 -17390
24 155 -16910
25 155 -16750
26 155 -16390
27 155 -15930
28 155 -15460
29 155 -15720
30 155 -15990
31 155 -16740
32 155 -17320
33 155 -17150
34 155 -16000
35 155 -15850
36 155 -15390
37 155 -15390
38 155 -16020
39 155 -16040
40 155 -16180
41 155 -15660
42 155 -15060
43 155 -15070
44 155 -15870
45 155 -15440
46 155 -14960
47 155 -14990
48 155 -15730
49 155 -16620
50 155 -16720
51 155 -16510
52 155 -16510
53 155 -18110
54 155 -18470
55 155 -18160
56 155 -16180
57 155 -16410
58 155 -16340
59 155 -16670
60 155 -17130
61 155 -14990
62 155 -14270
63 155 -14120
64 155 -14390
65 155 -14890
66 155 -14480
67 155 -14330
68 155 -14200
69 155 -13940
70 155 -14030
71 155 -14040
72 155 -13900
73 155 -13900
74 155 -13960
75 155 -13970
76 155 -14620
77 155 -13970
78 155 -13560
79 155 -13900
80 155 -13820
81 155 -13670
82 155 -13590
83 155 -13590
84 155 -13830
85 155 -14260
86 155 -14020
87 155 -14950
88 155 -15130
89 155 -16790
90 155 -14210
91 155 -12770
92 155 -12180
93 155 -12490
94 155 -12830
95 155 -13070
96 155 -12990
97 155 -12930
98 155 -12880
99 155 -13710
100 155 -13730
101 155 -14620
102 155 -16000
103 155 -16070
104 155 -16070
105 155 -14870
106 155 -6600
107 155 -12900
108 155 -12280
109 155 -12250
110 155 -11570
111 155 -11530
16 154 -17350
17 154 -17210
18 154 -16890
19 154 -16720
20 154 -17370
21 154 -17480
22 154 -17510
23 154 -17240
24 154 -16820
25 154 -16730
26 154 -16190
27 154 -15930
28 154 -15930
29 154 -16690
30 154 -17110
31 154 -16550
32 154 -16100
33 154 -16040
34 154 -15910
35 154 -15850
36 154 -16239
37 154 -16129
38 154 -16010
39 154 -16219
40 154 -15910
41 154 -15480
42 154 -15060
43 154 -15520
44 154 -15640
45 154 -15100
46 154 -14970
47 154 -15300
48 154 -15860
49 154 -16320
50 154 -16320
51 154 -16010
52 154 -17280
53 154 -18860
54 154 -18540
55 154 -15730
56 154 -15210
57 154 -16480
58 154 -17030
59 154 -17130
60 154 -15600
61 154 -14750
62 154 -14280
63 154 -14440
64 154 -15010
65 154 -15200
66 154 -14390
67 154 -14140
68 154 -13990
69 154 -13990
70 154 -13960
71 154 -13860
72 154 -13730
73 154 -13730
74 154 -14080
75 154 -14300
76 154 -14610
77 154 -13590
78 154 -13560
79 154 -13490
80 154 -13520
81 154 -13740
82 154 -13790
83 154 -14430
84 154 -14260
85 154 -14260
86 154 -16630
87 154 -15070
88 154 -15130
89 154 -14930
90 154 -13020
91 154 -12430
92 154 -11690
93 154 -12190
94 154 -12360
95 154 -12930
96 154 -12480
97 154 -12720
98 154 -13120
99 154 -13170
100 154 -13510
101 154 -14430
102 154 -15030
103 154 -15760
104 154 -16000
105 154 -13410
106 154 -12820
107 154 -12700
108 154 -12220
109 154 -11740
110 154 -10940
111 154 -10880
16 153 -17280
17 153 -17150
18 153 -17130
19 153 -16600
20 153 -16960
21 153 -17390
22 153 -17210
23 153 -16960
24 153 -16490
25 153 -15220
26 153 -15890
27 153 -16190
28 153 -17000
29 153 -16930
30 153 -16270
31 153 -15740
32 153 -16050
33 153 -15990
34 153 -16630
35 153 -16700
36 153 -15510
37 153 -15260
38 153 -15590
39 153 -15990
40 153 -15970
41 153 -15740
42 153 -15390
43 153 -15390
44 153 -16030
45 153 -15100
46 153 -15390
47 153 -14870
48 153 -15820
49 153 -16270
50 153 -15670
51 153 -15670
52 153 -17530
53 153 -19320
54 153 -17900
55 153 -16200
56 153 -15750
57 153 -15150
58 153 -8610
59 153 -16480
60 153 -15100
61 153 -14340
62 153 -14740
63 153 -15330
64 153 -14990
65 153 -14500
66 153 -14120
67 153 -14120
68 153 -13990
69 153 -13770
70 153 -13840
71 153 -13780
72 153 -13470
73 153 -13710
74 153 -14340
75 153 -14380
76 153 -14140
77 153 -13790
78 153 -13640
79 153 -13390
80 153 -13840
81 153 -13920
82 153 -14100
83 153 -14570
84 153 -15420
85 153 -15790
86 153 -16530
87 153 -17050
88 153 -16830
89 153 -14820
90 153 -12230
91 153 -11230
92 153 -11230
93 153 -11830
94 153 -12250
95 153 -12460
96 153 -12480
97 153 -12840
98 153 -12840
99 153 -13120
100 153 -13280
101 153 -13890
102 153 -15360
103 153 -15740
104 153 -15390
105 153 -13490
106 153 -13220
107 153 -12370
108 153 -11510
109 153 -11300
110 153 -10890
111 153 -10830
16 152 -17240
17 152 -17150
18 152 -17030
19 152 -16580
20 152 -16710
21 152 -16840
22 152 -17190
23 152 -16960
24 152 -16660
25 152 -15220
26 152 -15910
27 152 -16360
28 152 -16540
29 152 -16680
30 152 -16270
31 152 -16079
32 152 -16910
33 152 -16690
34 152 -16670
35 152 -15740
36 152 -15450
37 152 -15260
38 152 -15330
39 152 -15540
40 152 -15770
41 152 -15380
42 152 -15120
43 152 -15210
44 152 -15960
45 152 -15880
46 152 -15800
47 152 -14870
48 152 -15080
49 152 -16340
50 152 -15850
51 152 -15640
52 152 -18440
53 152 -17960
54 152 -17670
55 152 -17480
56 152 -17270
57 152 -15150
58 152 -16040
59 152 -14820
60 152 -14850
61 152 -14320
62 152 -14390
63 152 -14670
64 152 -14770
65 152 -14250
66 152 -13900
67 152 -13900
68 152 -13990
69 152 -13570
70 152 -13600
71 152 -13530
72 152 -13470
73 152 -13500
74 152 -14330
75 152 -13470
76 152 -14140
77 152 -13790
78 152 -13570
79 152 -13590
80 152 -13620
81 152 -14090
82 152 -14090
83 152 -14490
84 152 -13920
85 152 -16570
86 152 -16219
87 152 -17170
88 152 -16710
89 152 -13870
90 152 -12060
91 152 -11230
92 152 -11110
93 152 -11530
94 152 -11830
95 152 -12330
96 152 -12440
97 152 -12920
98 152 -13730
99 152 -13270
100 152 -13270
101 152 -13590
102 152 -15160
103 152 -15190
104 152 -13910
105 152 -13260
106 152 -13190
107 152 -12780
108 152 -11630
109 152 -11250
110 152 -10250
111 152 -10570
16 151 -16880
17 151 -16610
18 151 -16990
19 151 -16850
20 151 -16840
21 151 -16840
22 151 -16450
23 151 -16450
24 151 -16210
25 151 -16230
26 151 -15590
27 151 -16320
28 151 -16059
29 151 -16750
30 151 -17090
31 151 -16930
32 151 -16850
33 151 -16210
34 151 -16120
35 151 -16120
36 151 -16120
37 151 -16020
38 151 -15680
39 151 -15050
40 151 -15050
41 151 -15280
42 151 -15300
43 151 -15360
44 151 -15920
45 151 -15620
46 151 -15620
47 151 -14820
48 151 -14820
49 151 -15530
50 151 -16210
51 151 -16190
52 151 -18750
53 151 -16680
54 151 -17250
55 151 -17650
56 151 -17270
57 151 -17270
58 151 -15450
59 151 -14470
60 151 -14570
61 151 -14330
62 151 -14330
63 151 -14670
64 151 -14800
65 151 -14250
66 151 -14040
67 151 -13810
68 151 -13620
69 151 -13500
70 151 -13630
71 151 -13120
72 151 -13240
73 151 -14050
74 151 -13930
75 151 -13470
76 151 -13270
77 151 -13270
78 151 -13340
79 151 -13440
80 151 -13720
81 151 -14090
82 151 -14090
83 151 -14000
84 151 -13920
85 151 -16190
86 151 -17120
87 151 -17170
88 151 -16690
89 151 -13200
90 151 -11730
91 151 -9720
92 151 -10710
93 151 -11230
94 151 -12050
95 151 -12160
96 151 -12740
97 151 -12920
98 151 -13210
99 151 -13210
100 151 -13370
101 151 -13370
102 151 -14520
103 151 -14590
104 151 -13360
105 151 -13470
106 151 -13060
107 151 -12980
108 151 -12050
109 151 -11660
110 151 -10360
111 151 -10440
16 150 -17050
17 150 -16090
18 150 -16090
19 150 -17180
20 150 -17180
21 150 -16540
22 150 -8930
23 150 -16290
24 150 -16190
25 150 -16260
26 150 -15730
27 150 -16320
28 150 -15940
29 150 -16620
30 150 -17080
31 150 -16610
32 150 -15890
33 150 -15490
34 150 -15590
35 150 -15560
36 150 -15290
37 150 -15360
38 150 -15380
39 150 -15280
40 150 -15010
41 150 -15100
42 150 -15370
43 150 -15220
44 150 -15420
45 150 -15080
46 150 -15620
47 150 -15160
48 150 -15010
49 150 -15160
50 150 -16670
51 150 -17270
52 150 -18970
53 150 -15220
54 150 -15230
55 150 -18060
56 150 -17640
57 150 -16059
58 150 -15030
59 150 -14120
60 150 -14340
61 150 -14330
62 150 -14330
63 150 -14750
64 150 -14140
65 150 -13980
66 150 -14100
67 150 -13650
68 150 -13270
69 150 -13270
70 150 -13560
71 150 -13120
72 150 -13240
73 150 -13760
